"id","title", "date"," weather"," weather_class"," leading_genres"," entry"," sentiment"
"0","Wonderful","2025-06-20","Clear sky","Sunny","rock","Life feels full of joy and energy today!","happiness"
"1","The Thinker","2025-06-19","Overcast","Cloudy","r&b","I’ve been thinking a lot lately, feeling kind of reflective.","love"
"2","Missing","2025-06-18","Partly cloudy","Cloudy","indie pop","I miss how things used to be.","sadness"
"3","waterloo","2025-06-17","Rain showers","Rainy","alternative","Feeling nervous about tomorrow.","worry"
"5","storm","2025-06-15","Heavy rain","Rainy","hip hop","Nothing makes sense anymore.","sadness"
"6","again waterloo","2025-06-14","Fog","Foggy","lofi","I’m anxious about next week’s test.","worry"
"7","peace at last","2025-06-13","Clear sky","Sunny","classical","Just enjoyed a peaceful evening walk.","love"
"8","Zachary John","2025-06-12","Rain showers","Rainy","trap","It’s been a stressful day.","anger"
"9","sheesh","2025-06-21","Light drizzle","Rainy","uk drill","I am feeling quite horrible today.","sadness"
10,"Hackathon","2025-06-22","Thunderstorm","Stormy","hip hop","I am very very scared","worry"
